cs,Country_Region,Military Strength Power Index,Aircraft Strength value,Fighter/Interceptor Strength value,Attack Aircraft Strength value,Transport Aircraft Fleet Strength value,Trainer Aircraft Fleet value,Helicopter Fleet Strength value,Attack Helicopter Fleet Strength value,Tank Strength value,AFV/APC Strength value,Self-Propelled Artillery Strength value,Towed Artillery Strength value,Rocket Projector Strength value,Navy Fleet Strengths value,Aircraft Carrier Fleet Strength value,Submarine Fleet Strength value,Destroyer Fleet Strength value,Frigate Fleet Strength value,defense spending budget value,External Debt value,Airport Totals value,Oil Production value,Oil Consumption value,Proven Oil Reserves value,Available Manpower value,Total Population value,Total Square Land Area value,Total Coastline Coverage value,Total Waterway Coverage value,Total Border Coverage value,GDP (BILLIONS),CODE,link
Suriname,Suriname,4.6042,3,0,0,0,0,3,0,0,66,0,0,0,3,0,0,0,0,63000000,1700000000,55,17000,15100,83980000,132740,597927,163820,386,1200,1907,5.27,SUR,https://upload.wikimedia.org/wikipedia/commons/6/60/Flag_of_Suriname.svg
Sweden,Sweden,0.5304,204,71,0,6,69,53,0,126,1036,88,0,0,63,0,5,0,0,6326923600,9.40E+11,231,0,320000,0,4116808,10040995,450295,3218,2052,2211,559.1,SWE,https://upload.wikimedia.org/wikipedia/en/4/4c/Flag_of_Sweden.svg
Switzerland,Switzerland,0.5259,169,54,0,18,54,42,0,326,1338,224,0,0,0,0,0,0,0,5000000000,1.66E+12,63,0,260000,0,3632250,8292809,41277,0,1299,1770,679,CHE,https://upload.wikimedia.org/wikipedia/commons/0/08/Flag_of_Switzerland_%28Pantone%29.svg
Syria,Syria,0.8241,456,199,20,5,67,165,27,4135,5370,575,2550,750,56,0,0,0,2,1800000000,4989000000,90,14000,260000,2500000000,12450728,19454263,185180,193,900,2363,64.7,SYR,https://upload.wikimedia.org/wikipedia/commons/9/9b/Flag_of_Syria.png
Taiwan,Taiwan,0.4008,744,289,0,19,207,210,91,1180,2000,482,1160,115,117,0,4,4,22,10725000000,1.82E+11,37,196,1032000,2380000,12196809,23545963,35980,1566,3720,0,529.5,TWN,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Flag_of_the_Republic_of_China.svg/2560px-Flag_of_the_Republic_of_China.svg.png
Tajikistan,Tajikistan,1.8661,25,0,0,1,4,20,6,253,347,0,90,128,0,0,0,0,0,1600000000,5750000000,24,180,20500,12000000,4095924,8604882,143100,0,200,4130,9.16,TJK,https://upload.wikimedia.org/wikipedia/commons/d/d0/Flag_of_Tajikistan.svg
Tanzania,Tanzania,2.0651,34,14,0,6,8,6,0,156,70,0,12,0,19,0,0,0,0,223000000,17660000000,166,0,46000,0,10258498,55451343,947300,1424,0,4161,36.62,TZA,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Flag_of_Tanzania.svg/800px-Flag_of_Tanzania.svg.png?20200208161926
Thailand,Thailand,0.3571,570,75,19,48,154,307,7,841,1416,20,776,25,292,1,0,0,7,7100000000,1.32E+11,101,239700,1345000,396400000,35543014,68615858,513120,3219,4000,5673,373.8,THA,https://upload.wikimedia.org/wikipedia/commons/a/a9/Flag_of_Thailand.svg
Thailand,Thailand,0.3571,570,75,19,48,154,307,7,841,1416,20,776,25,292,1,0,0,7,7100000000,1.32E+11,101,239700,1345000,396400000,35543014,68615858,513120,3219,4000,5673,373.8,THA,https://upload.wikimedia.org/wikipedia/commons/1/1e/Flag_of_Swaziland.svg
Tunisia,Tunisia,1.4619,147,12,0,14,29,92,0,181,878,20,165,0,50,0,0,0,0,550000000,30190000000,29,49170,90500,425000000,5850224,11516189,163610,1148,0,1495,49.12,TUN,https://upload.wikimedia.org/wikipedia/commons/c/ce/Flag_of_Tunisia.svg
